"token","referral","creationDate","lastUpdate","status","P1","S4","F2","A1","R3","P3","S1","D1","F1","A4","A2","D4","S2","A3","R2","D2","F3","R1","P2","S3","D3","F4","P4","R4","age","gender","countryOfOrigin_value","countryOfOrigin_label","hexadType_philanthropist","hexadType_socializer","hexadType_freeSpirit","hexadType_achiever","hexadType_player","hexadType_disruptor","hexadType_percentage_philanthropist","hexadType_percentage_socializer","hexadType_percentage_freeSpirit","hexadType_percentage_achiever","hexadType_percentage_player","hexadType_percentage_disruptor"
"f3ec0509-36e0-4e68-af82-8a53649a05b0","facebook","2022-01-07T07:48:36.008Z","2022-01-07T07:49:42.417Z","final",6,1,6,2,7,7,1,5,4,2,1,2,2,4,7,3,3,2,5,4,4,6,6,7,30,"female","ca","Canada",24,8,19,9,23,14,85.71,28.57,67.86,32.14,82.14,50.0
"f63584c6-aa65-4d7a-b7b3-0eae1a210c3e","facebook","2022-01-07T09:08:18.820Z","2022-01-07T09:10:16.049Z","final",6,6,4,5,7,4,4,6,4,6,4,4,6,2,6,6,4,4,4,4,4,6,4,7,20,"male","gb","United Kingdom of Great Britain and Northern Ireland",18,20,18,17,24,20,64.29,71.43,64.29,60.71,85.71,71.43
"1b9dd559-c129-420a-9943-498cfb19d57b","facebook","2022-01-07T10:48:10.223Z","2022-01-07T10:49:15.789Z","final",6,2,5,7,6,7,2,3,3,5,6,2,4,7,6,7,2,2,5,3,1,6,5,6,26,"female","au","Australia",23,11,16,25,20,13,82.14,39.29,57.14,89.29,71.43,46.43
"c45db56f-e2da-4493-a5ae-ddf5d3cebc8a","facebook","2022-01-07T10:56:44.993Z","2022-01-07T10:57:56.731Z","final",7,3,5,2,6,6,1,2,5,6,2,1,5,1,6,6,4,5,7,6,1,2,6,4,,,,,26,15,16,11,21,10,92.86,53.57,57.14,39.29,75.0,35.71
"21e4c054-2132-45ed-a1b7-10cb4133c2d5","facebook","2022-01-07T11:14:24.293Z","2022-01-07T11:15:26.667Z","final",6,5,6,6,5,6,7,5,5,7,7,5,6,6,7,5,6,7,6,7,5,7,5,7,23,"female","gb","United Kingdom of Great Britain and Northern Ireland",23,25,24,26,26,20,82.14,89.29,85.71,92.86,92.86,71.43
"619d8e23-63cb-4ccf-89d2-9f406318e67f","facebook","2022-01-07T11:26:15.902Z","2022-01-07T11:27:45.062Z","final",4,5,7,6,4,6,4,4,5,6,6,1,4,6,4,5,6,3,4,2,4,1,3,4,37,"male","gb","United Kingdom of Great Britain and Northern Ireland",17,15,19,24,15,14,60.71,53.57,67.86,85.71,53.57,50.0
"db30112b-90dd-4de5-9808-d9c82be800c3","facebook","2022-01-07T11:28:44.875Z","2022-01-07T11:30:01.043Z","final",6,5,5,5,6,6,6,5,6,6,6,5,5,5,6,6,6,5,5,5,4,5,5,6,42,"male","gb","United Kingdom of Great Britain and Northern Ireland",22,21,22,22,23,20,78.57,75.0,78.57,78.57,82.14,71.43
"665bc2d7-6a77-46c0-8b1e-4f947c264c8d","facebook","2022-01-07T11:43:18.547Z","2022-01-07T11:45:37.785Z","final",6,4,5,5,4,5,5,6,5,5,5,6,5,5,6,5,6,5,5,3,6,5,4,7,27,"male","au","Australia",20,17,21,20,22,23,71.43,60.71,75.0,71.43,78.57,82.14
"7df4c640-5c8a-475b-817a-c033763a11b6","facebook","2022-01-07T11:51:31.603Z","2022-01-07T11:54:28.376Z","final",6,2,6,6,4,7,4,4,6,6,3,3,3,6,7,4,5,6,5,4,5,6,6,6,28,"female","au","Australia",24,13,23,21,23,16,85.71,46.43,82.14,75.0,82.14,57.14
"db908a79-edb3-42f5-9674-992051aafbc7","facebook","2022-01-07T11:57:44.849Z","2022-01-07T11:59:18.546Z","final",7,7,6,6,5,6,7,3,5,5,5,3,7,6,6,5,5,5,7,7,5,5,7,5,26,"male","gb","United Kingdom of Great Britain and Northern Ireland",27,28,21,22,21,16,96.43,100.0,75.0,78.57,75.0,57.14
"acf10c90-296e-4652-a43b-ea08c36637ab","facebook","2022-01-07T11:58:36.613Z","2022-01-07T11:59:44.327Z","final",7,5,5,6,5,6,6,5,5,7,6,5,6,6,5,4,5,5,6,6,5,6,7,5,21,,"ca","Canada",26,23,21,25,20,19,92.86,82.14,75.0,89.29,71.43,67.86
"3ac2b1ae-47dd-41c1-9e14-e9b59f4a69e0","facebook","2022-01-07T12:04:13.345Z","2022-01-07T12:05:19.808Z","final",5,2,7,5,6,5,1,1,7,5,5,6,1,7,7,7,7,4,4,1,5,7,4,7,29,"female","gb","United Kingdom of Great Britain and Northern Ireland",18,5,28,22,24,19,64.29,17.86,100.0,78.57,85.71,67.86
"795009d3-e1e8-4b4f-9aab-e4bfac2573c6","facebook","2022-01-07T12:07:09.142Z","2022-01-07T12:09:20.576Z","final",5,2,4,6,7,4,3,4,6,6,7,4,4,6,6,6,7,7,4,4,4,3,4,6,15,"female","au","Australia",17,13,20,25,26,18,60.71,46.43,71.43,89.29,92.86,64.29
"21438254-44bd-4856-bc70-10164c24fe2d","facebook","2022-01-07T12:30:44.136Z","2022-01-07T12:33:14.776Z","final",6,7,5,7,6,5,7,3,6,6,5,3,6,5,6,5,7,4,5,5,3,5,3,6,20,"male","au","Australia",19,25,23,23,22,14,67.86,89.29,82.14,82.14,78.57,50.0
"1dc42629-7191-4411-a58e-0b7da72e80bb","facebook","2022-01-07T12:33:26.002Z","2022-01-07T12:35:53.957Z","final",6,5,6,6,6,6,6,5,7,7,7,2,4,6,7,5,7,6,5,4,3,5,6,7,30,"male","gb","United Kingdom of Great Britain and Northern Ireland",23,19,25,26,26,15,82.14,67.86,89.29,92.86,92.86,53.57
"d1adeeba-8d4c-4678-960a-be20ade20218","facebook","2022-01-07T13:01:53.355Z","2022-01-07T13:03:26.041Z","final",7,7,7,7,7,7,6,4,6,7,7,1,7,7,4,7,7,1,7,4,1,7,7,7,21,"male","au","Australia",28,24,27,28,19,13,100.0,85.71,96.43,100.0,67.86,46.43
"4d1859ce-ca27-4f4e-b966-fb8ae13b3283","none","2022-01-07T13:10:42.843Z","2022-01-07T13:13:09.195Z","final",6,5,6,5,3,6,5,2,3,6,6,4,5,5,7,5,3,7,6,6,2,5,6,7,19,"male","gb","United Kingdom of Great Britain and Northern Ireland",24,21,17,22,24,13,85.71,75.0,60.71,78.57,85.71,46.43
"9f3b5b68-4a83-4b9e-8d3e-2998fb81ce13","facebook","2022-01-07T13:28:49.422Z","2022-01-07T13:30:46.139Z","final",6,6,6,6,1,6,7,4,7,7,6,4,7,6,1,4,5,7,4,1,1,7,7,1,29,"male","au","Australia",23,21,25,25,10,13,82.14,75.0,89.29,89.29,35.71,46.43
"e0b50d1f-4ba6-47dc-93e6-fab9821f0ede","facebook","2022-01-07T13:34:53.576Z","2022-01-07T13:37:07.387Z","final",7,4,5,6,5,7,7,1,7,6,4,1,7,7,7,6,7,3,7,7,1,5,7,7,21,"female","gb","United Kingdom of Great Britain and Northern Ireland",28,25,24,23,22,9,100.0,89.29,85.71,82.14,78.57,32.14
"afeb5a4a-c36d-4c41-9004-c05b41202eb7","facebook","2022-01-07T13:46:41.266Z","2022-01-07T13:48:03.762Z","final",6,2,7,6,5,7,2,6,6,7,7,3,2,7,7,7,7,2,7,2,4,5,7,7,27,"male","gb","United Kingdom of Great Britain and Northern Ireland",27,8,25,27,21,20,96.43,28.57,89.29,96.43,75.0,71.43
"3d046bc4-9f94-4761-a363-0198ca8a0f0a","facebook","2022-01-07T14:10:48.516Z","2022-01-07T14:11:47.767Z","final",6,5,5,6,7,6,2,3,6,7,7,1,6,6,6,1,5,2,6,7,1,6,6,6,19,,"au","Australia",24,20,22,26,21,6,85.71,71.43,78.57,92.86,75.0,21.43
"803204e7-2b8a-47da-aa07-2b546acac5a3","facebook","2022-01-07T14:16:51.602Z","2022-01-07T14:18:40.635Z","final",6,1,7,5,3,6,1,3,6,6,7,3,1,6,5,3,5,3,3,2,3,4,5,3,21,"female","gb","United Kingdom of Great Britain and Northern Ireland",20,5,22,24,14,12,71.43,17.86,78.57,85.71,50.0,42.86
"b8a03907-63b3-4cf7-aea7-b67d31fd5bd9","facebook","2022-01-07T14:17:06.549Z","2022-01-07T14:19:07.585Z","final",4,3,6,6,5,6,3,6,7,5,6,7,2,5,6,7,7,1,3,4,6,7,6,5,45,"other",,,19,12,27,22,17,26,67.86,42.86,96.43,78.57,60.71,92.86
"587b2b94-dab2-4efa-9cc5-b1e8bb3798fa","facebook","2022-01-07T14:19:14.816Z","2022-01-07T14:20:41.764Z","final",5,3,6,5,5,5,3,4,5,6,6,4,4,6,6,6,5,6,5,4,5,7,5,6,20,"other","au","Australia",20,14,23,23,23,19,71.43,50.0,82.14,82.14,82.14,67.86
"c04ef905-20a0-4167-8781-4157162bcbe6","facebook","2022-01-07T14:21:35.868Z","2022-01-07T14:22:39.965Z","final",7,5,6,6,4,7,6,1,3,7,7,3,4,6,7,5,6,6,6,5,3,2,7,6,20,"male","au","Australia",27,20,17,26,23,12,96.43,71.43,60.71,92.86,82.14,42.86
"279dd7b5-5b62-4a6f-a12b-87669e2075a2","facebook","2022-01-07T14:49:23.310Z","2022-01-07T14:50:59.903Z","final",6,6,6,6,6,6,5,5,4,4,6,4,6,6,7,7,7,5,6,5,5,6,7,7,33,"male","gb","United Kingdom of Great Britain and Northern Ireland",25,22,23,22,25,21,89.29,78.57,82.14,78.57,89.29,75.0
"25986f94-12d8-40cd-b913-17709fe0ef1e","facebook","2022-01-07T15:01:22.043Z","2022-01-07T15:04:48.402Z","final",5,5,5,5,4,5,5,3,5,4,4,4,5,5,6,4,4,6,5,5,4,4,5,5,,,,,20,20,18,18,21,15,71.43,71.43,64.29,64.29,75.0,53.57
"f724b1db-9e98-4d4d-a124-104b3f87ee5f","none","2022-01-07T15:03:13.963Z","2022-01-07T15:05:23.318Z","final",5,7,6,6,6,7,6,1,6,6,6,4,6,5,5,6,5,4,6,7,5,6,6,5,33,"male","gb","United Kingdom of Great Britain and Northern Ireland",24,26,23,23,20,16,85.71,92.86,82.14,82.14,71.43,57.14
"0011e3eb-2f59-4dfd-88fc-6af578eae02d","facebook","2022-01-07T15:06:48.269Z","2022-01-07T15:09:24.347Z","final",6,6,7,7,4,5,4,2,6,6,6,4,6,7,7,4,6,6,4,4,3,4,7,7,19,"male","au","Australia",22,20,23,26,24,13,78.57,71.43,82.14,92.86,85.71,46.43
"117ed9d9-18b3-4c73-bf4b-f0d7455ffa02","none","2022-01-07T15:17:48.474Z","2022-01-07T15:19:46.470Z","final",7,6,5,6,4,6,5,5,4,7,5,4,6,5,4,5,5,4,6,6,5,4,5,4,22,"male","au","Australia",24,23,18,23,16,19,85.71,82.14,64.29,82.14,57.14,67.86
"eae55cf6-4edc-4cef-98d6-5f5ebd310012","facebook","2022-01-07T15:53:55.891Z","2022-01-07T15:55:12.297Z","final",6,7,6,6,4,5,6,4,6,6,5,2,7,6,6,5,7,6,5,6,5,7,5,6,,,,,21,26,26,23,22,16,75.0,92.86,92.86,82.14,78.57,57.14
"c7c9a170-9ddc-4c50-ab17-52f9fe6099e3","facebook","2022-01-07T15:54:32.771Z","2022-01-07T15:57:24.540Z","final",7,6,5,5,4,6,6,3,4,7,5,3,6,6,6,4,5,6,6,6,3,4,6,3,21,"female","gb","United Kingdom of Great Britain and Northern Ireland",25,24,18,23,19,13,89.29,85.71,64.29,82.14,67.86,46.43
"8f2fd9be-4c4b-4f20-9bad-e72a6e473950","facebook","2022-01-07T15:58:36.203Z","2022-01-07T16:00:00.614Z","final",6,3,7,7,5,7,5,4,6,7,6,4,3,6,7,5,6,7,7,5,6,7,6,7,,,,,26,16,26,26,26,19,92.86,57.14,92.86,92.86,92.86,67.86
"7758373b-65d2-4004-a0fc-9f438b3b90ec","facebook","2022-01-07T16:12:34.527Z","2022-01-07T16:13:48.970Z","final",6,6,6,6,7,7,5,6,6,6,5,5,6,6,7,5,6,5,4,3,6,6,5,5,21,"male","au","Australia",22,20,24,23,24,22,78.57,71.43,85.71,82.14,85.71,78.57
"a8a7acd7-069f-4260-859c-fda4ecc16c6c","facebook","2022-01-07T16:24:31.017Z","2022-01-07T16:26:24.114Z","final",6,6,7,6,6,5,6,3,1,7,6,3,6,3,7,2,3,7,6,5,1,5,6,7,20,"female","au","Australia",23,23,16,22,27,9,82.14,82.14,57.14,78.57,96.43,32.14
"3e00963b-df40-4d53-8ed9-6469c11e876c","facebook","2022-01-07T16:27:02.176Z","2022-01-07T16:28:17.086Z","final",7,7,6,6,4,7,7,3,6,6,7,2,7,7,7,5,6,6,7,7,3,6,7,2,21,"female","nz","New Zealand",28,28,24,26,19,13,100.0,100.0,85.71,92.86,67.86,46.43
"5845e9f9-e86a-49f0-b35b-d4b4f9a597b6","facebook","2022-01-07T16:28:54.075Z","2022-01-07T16:31:30.383Z","final",6,5,6,6,5,6,6,4,5,6,6,5,5,6,7,6,7,6,6,6,5,5,6,6,42,"male","gb","United Kingdom of Great Britain and Northern Ireland",24,22,23,24,24,20,85.71,78.57,82.14,85.71,85.71,71.43
"9a1dd5e2-a065-4437-a51b-8e0125dd8b96","facebook","2022-01-07T16:38:35.293Z","2022-01-07T16:40:03.635Z","final",6,4,5,7,6,7,4,6,6,5,5,6,4,5,4,6,6,4,6,4,7,4,6,4,21,"male","ie","Ireland",25,16,21,22,18,25,89.29,57.14,75.0,78.57,64.29,89.29
"aff50e26-2f63-4632-9710-d975612b5ddd","facebook","2022-01-07T16:39:11.410Z","2022-01-07T16:41:49.116Z","final",7,6,5,7,5,3,5,7,4,7,5,4,3,3,6,1,4,7,2,2,3,2,3,7,19,"male","gb","United Kingdom of Great Britain and Northern Ireland",15,16,15,22,25,15,53.57,57.14,53.57,78.57,89.29,53.57
"b80bc3c9-ced7-4ebf-aadb-682831f12d52","facebook","2022-01-07T16:39:40.247Z","2022-01-07T16:41:21.938Z","final",7,6,6,5,7,5,5,1,4,6,5,2,5,5,7,4,4,5,5,7,2,5,5,7,18,"male","gb","United Kingdom of Great Britain and Northern Ireland",22,23,19,21,26,9,78.57,82.14,67.86,75.0,92.86,32.14
"ab72eb52-c6ca-49ba-9186-eb8d228b6c18","facebook","2022-01-07T16:54:32.281Z","2022-01-07T16:56:06.828Z","final",6,3,7,5,5,7,7,1,5,6,5,2,6,7,4,6,6,3,7,7,6,5,7,4,33,"male","gb","United Kingdom of Great Britain and Northern Ireland",27,23,23,23,16,15,96.43,82.14,82.14,82.14,57.14,53.57
"e6ad9cd5-84b2-4e48-918d-200bb947ad5f","facebook","2022-01-07T16:59:25.442Z","2022-01-07T17:01:10.001Z","final",7,7,7,6,7,6,7,6,4,5,5,4,7,6,7,5,4,4,5,6,4,4,6,6,21,"male","au","Australia",24,27,19,22,24,19,85.71,96.43,67.86,78.57,85.71,67.86
"a5bef690-f86e-4c98-906b-a06a1a247b56","facebook","2022-01-07T17:03:05.227Z","2022-01-07T17:04:48.951Z","final",6,5,5,6,5,6,5,3,5,6,6,2,5,6,5,4,5,5,5,5,2,5,5,5,19,"male","gb","United Kingdom of Great Britain and Northern Ireland",22,20,20,24,20,11,78.57,71.43,71.43,85.71,71.43,39.29
"57e08807-a21e-486c-9e38-06671c3150ab","facebook","2022-01-07T17:04:43.242Z","2022-01-07T17:05:36.847Z","final",7,7,5,7,6,7,7,5,7,7,7,6,7,6,7,7,6,4,7,6,2,5,7,7,29,"male","au","Australia",28,27,23,27,24,20,100.0,96.43,82.14,96.43,85.71,71.43
"020b273f-8eb3-45d2-b3fc-973c85462d84","facebook","2022-01-07T17:13:38.376Z","2022-01-07T17:16:31.670Z","final",5,3,6,7,5,6,2,1,6,7,7,4,4,5,4,4,6,3,5,4,1,5,6,4,23,"male","gb","United Kingdom of Great Britain and Northern Ireland",22,13,23,26,16,10,78.57,46.43,82.14,92.86,57.14,35.71
"3e82ad53-3493-4a9e-ade2-aae49c510145","facebook","2022-01-07T17:38:13.551Z","2022-01-07T17:39:22.146Z","final",6,7,5,6,3,5,6,1,3,5,6,1,7,4,3,2,1,3,6,4,1,3,6,5,20,"male","ca","Canada",23,24,12,21,14,5,82.14,85.71,42.86,75.0,50.0,17.86
"ed1deea1-f1d5-4bfe-9f81-ae6637f1abd8","facebook","2022-01-07T17:49:08.776Z","2022-01-07T17:50:16.325Z","final",4,1,6,5,6,4,1,4,6,6,6,1,1,7,7,5,7,5,1,1,4,3,1,7,25,"female","gb","United Kingdom of Great Britain and Northern Ireland",10,4,22,24,25,14,35.71,14.29,78.57,85.71,89.29,50.0
"68a1600b-f694-4f3e-946e-d7ab76a0053b","facebook","2022-01-07T18:11:19.162Z","2022-01-07T18:12:54.862Z","final",6,5,6,6,5,5,6,3,4,5,7,2,5,6,3,6,6,6,3,3,2,3,7,3,20,"male","us","United States of America",21,19,19,24,17,13,75.0,67.86,67.86,85.71,60.71,46.43
